0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0.01,0.01,0,0.02,0.01,0,0.03,0.01,0,0.01,0.01,0.01,0.01,0.02,0.02,0,0.02,0.02,0.01,0.05,0.02,0.01,0.02,0,0.02,0,0.03,0,0,0.01,0,0,0.03,0,0,0.02,0.02,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0.02,0,0.02,0.02,0,0.01,0,0.01,0.01,0.03,0.01,0,0.04,0.02,0.01,0.07,0.08,0.02,0.03,0.05,0.06,0.07,0.03,0.07,0.15,0.05,-1,-1,-1,-1,-1,0.3,-1,0.21,0.16,0.13,0.16,0.11,0.08,0.06,0.09,0.02,0.02,0,0,0.01
0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.02,0.02,0.02,0,0.01,0,0.04,0.01,0.02,0.01,0.01,0.01,0,0.02,0,0,0.01,0.02,0.05,0.01,0,0.02,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0.04,0.01,0,0,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.01,0.02,0,0.02,0.01,0.01,0.03,0,0.04,0.03,0.06,0.05,0.03,0.02,0.08,-1,-1,-1,-1,-1,0.16,0.13,0.08,0.18,0.16,0.13,0.27,0.22,0.25,0.14,-1,0.21,0.12,0.15,0.14,0.1,0.08,0.02,0.03,0.01
0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0.01,0.01,0,0,0.01,0,0,0,0.01,0.01,0.01,0.02,0,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.03,0.02,0.02,0.02,0.02,0.03,0.01,0,0.01,0.03,0,0.01,0.03,0.01,0.01,0.01,0.02,0.03,0.02,0,0.02,0,0.01,0,0,0.02,0.01,0.01,0,0,0.02,0,0,0.01,0,0,0,-1,-1,-1,-1,-1,0.01,0,0,0,0.01,0,0,0,0.01,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0,0,0,0.01,0,0,0.01,0.01,0.01,0,0.03,0.01,0.01,0.04,0.03,0.02,0.01,0.01,0.05,0.02,0.04,-1,0.03,0.09,0.06,-1,0.16,0.16,0.26,0.2,0.2,0.15,-1,-1,-1,-1,-1,0.19,0.11,0.08,0.09,0.06,0.14,0.04,0.11,0.06
-1,-1,-1,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0.02,-1,0.02,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.04,0.02,0.02,0,0.02,0.01,0.02,0,0.02,-1,-1,-1,-1,-1,-1,-1,-1,0.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0,0,0,0.01,0.01,0,0,0,0.01,0,0.02,0,0,0,0,0.01,0.01,0.01,0,0,-1,0,0.01,0,0,0,0,0,0,0.02,0,0,0,0.01,0.01,0,0,0,0,0,-1,-1,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0.01,0,0,0,-1,0,0,-1,-1,-1,-1,-1,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,0.01,0.04,0.05,0.05,0.02,0.02,-1,0.1,0.05,0.07,-1,-1,-1,-1,-1,-1,0.15,0.21,0.16,0.12,0.14,0.13,0.21,0.18,0.11,0.09,0.13,0.1,0.07,0.09,0.09
0,0,0,0,0,0,0,-1,0,0,0.01,0.01,0,0,0,0.01,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0.03,0.02,0,-1,-1,-1,-1,-1,-1,0.02,0.02,0.01,0.04,0,0.02,0.02,-1,-1,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0,0,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.01,-1,0,0,-1,-1,-1,-1,-1,0,0.02,-1,-1,-1,-1,-1,-1,-1,0.02,0.03,0.03,0.03,0.05,0.05,-1,-1,-1,-1,-1,0.12,-1,0.13,0.12,0.12,0.12,0.11,0.18,0.08,0.06,-1,-1,-1,-1,-1,-1,-1,0.07,0.04,0.07
0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0.01,-1,-1,-1,-1,-1,0,0.03,-1,-1,-1,-1,-1,-1,0.01,0.01,0.02,0.02,0.02,0.01,0.02,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,-1,-1,-1,-1,-1,-1,0.01,0.01,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0.01,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0.02,0.02,0.05,0.06,0.09,0.07,0.06,0.07,0.07,0.05,0.1,-1,-1,-1,-1,-1,0.12,0.08,0.12,0.07,0.1,0.06,0.04,0.07,0.03,0.08,0.09,0.03,0.05,0.05
0,0,0,0,0,0,0.01,0.02,0.01,0,0,0,0.02,0.01,0,0,0,0,0,0,-1,-1,0.02,0.01,0.02,0.01,-1,-1,-1,0.02,0.01,-1,-1,-1,-1,-1,-1,0.02,0.03,0.02,0.04,0.03,0.03,0.01,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.02,0,0,0,0.01,0,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0.01,0,0,-1,-1,-1,-1,-1,0.01,0,0,0,0,0.01,0,0,0,0,-1,0,0.01,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0.01,0,0,0,0.01,0,0,0,-1,0,0.02,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0.03,0.01,0.01,0.04,0.02,0.05,0.04,0.05,0.03,0.07,0.11,0.05,0.11,0.05,0.1,0.11,0.05,0.07,0.14,0.11,0.08,0.08,0.07,0.05,0.11,0.09,0.1,0.06,0.1,0.06,0.04,0.01
0,0,0,0,0,0,0,0.01,0,0.01,0,0.01,0.01,0,0,0,0.01,0.01,0.02,0,0.02,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0,-1,-1,0.03,0.01,0.02,0.03,0.01,0.01,0.04,0.03,0.02,0.01,0.03,-1,-1,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.01,0,0,0,0,0,0.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0,0,0,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0.01,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0.01,0,0,0,-1,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,0.01,0.03,0.01,0.02,0,0.01,0,0.02,0.04,0.03,0.01,0.05,0.02,0.03,0.09,0.06,0.04,0.08,0.08,0.05,0.09,0.04,0.05,0.11,0.07,0.1,0.08,0.1,0.12,0.13,0.07,0.08,0.08,0.09,0.05,0.05,0.03,0.02
0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0.01,0.02,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0.01,-1,-1,0.04,0.04,0.06,0.04,0.07,0.02,-1,-1,0.07,0.03,0.05,-1,-1,0.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0.01,0.04,0.01,0.01,0,0,0.01,0,0,0,0.01,0,0.02,0,0.01,0.01,0.01,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0.01,0,0.01,-1,-1,-1,-1,0,0.01,0,0.01,0,0,-1,0,0,0.01,0.01,-1,0.01,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0.01,0,0,0,0,-1,0.01,0,-1,-1,-1,-1,-1,-1,-1,0.01,0,0.01,0.01,0.03,0.01,0,0,0,0.01,0.03,0.05,0.05,0.07,0.04,0.04,0.01,0.07,0.05,0.05,0.05,0.05,-1,-1,-1,-1,-1,-1,0.05,0.06,0.09,0.06,0.05,0.06,0.03,0.03,0.03,0.07
-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.01,0,0,0,0,0,0,0.01,0.01,0,0.04,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.03,0.03,0.01,0.07,0.04,0.03,0.05,0.01,0.04,0.03,0.02,0.07,0.06,-1,-1,0.02,0.02,0.02,0.01,0.06,0.03,0.03,0.03,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0.02,0.01,0.01,0,0.01,0.01,0,0.01,0,0,0.01,0,0.01,0.01,0.01,0,0,0.01,0.03,0,0,0,0.03,0,0.01,0.02,0,-1,0.01,0.01,0.01,0,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0.01,-1,-1,-1,0.01,0.01,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0.01,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05,0.03,0.03,0.04,0.03,0.01,0.05,0.02,0.02,0.07,0.03,0.05,0.03,0.03,0.06,0.06,0.03,0.06,0.05,0.07,0.03,0.04,0.05,0.05,0.07,0.07,0.06,0.03,0.03,0.05,0.01
-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.01,0,0,0,0,0,0,0,0.04,0.02,0.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.03,0.03,0.05,0.03,0.05,0.02,0.03,0.02,0.04,0.02,0.05,0.03,0.04,0.02,0.04,0.04,0.04,0.06,0.03,0.04,0.03,0.07,0.04,0.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04,0.01,0.02,0,0,0,0.01,0,0.01,0,0.01,0.01,0,0.01,0.02,0,0.01,0,0,0,0,0.02,0.01,0.01,0.01,0.01,0.01,0,-1,0,0.01,0,-1,-1,-1,-1,0,0,0,0.02,0,0,0,0.01,0,-1,-1,-1,-1,0,0,0.01,0,0.01,0,0,0,0,0,0,0,-1,0,0,0.01,0,0,0,0.01,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0.01,0.04,0.05,0.04,0.02,0.05,0.02,0.01,0.09,0.02,0.09,0.04,0.01,0.04,0.05,0.07,0.1,0.1,0.07,0.04,0.11,0.04,0.03,0.05,0.04,0,0.04,0.06,0.05,0.07
-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.01,0,0,0,0.02,0,0.01,0.01,0,0,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,-1,-1,-1,0.06,0.04,-1,0.07,0.02,0.06,0.01,0.02,0.03,0.02,0.05,0.06,0.04,0.05,0.01,0.06,0.03,0.03,0.06,0.05,0.07,0.04,0.05,0.05,0.07,0.01,0.03,0.02,0.06,0.02,0.02,0.04,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0,0.01,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.01,-1,0,0,0.01,0.01,0,0.01,0,0.01,0.01,0,0,0,0.02,0,0,0,-1,-1,-1,-1,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0,0.02,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0.01,0.01,0,0,0.02,0,0,0.01,0.01,0.03,0.01,0.02,0.02,-1,0.02,0.08,0.01,0.03,0.03,0.05,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.04,0.05,0.05,0.02,0.08,0.02,0.08,0.02,0.03,0.06,0.07,0.09,0.03,0.04,0.01,0.02,0.03
-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.01,0.01,0.02,0.01,0.02,0.01,0,0,0.03,0.02,0.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,-1,-1,-1,0.06,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03,0.07,0.07,0.06,0.02,0.06,0.03,0.03,0.01,0.04,0.04,0.06,0,0.02,0.03,0.05,0.01,0.03,0.05,0.02,0.04,0,0,0.01,0.02,0.02,0.01,0.04,0,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0,0.01,0.02,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.01,0.01,0.02,0,-1,-1,-1,-1,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0.01,0,0.01,0.01,0,0,0.01,0.02,0.04,0,0.01,0.03,0.03,0,0.02,0.03,0,0.06,0.01,0,0.02,0.04,0.06,0.02,0.06,0.04,0.03,0.04,0.05,0.04,0.04,0.04,0.02,0.04,0.02,0.05,0.07,0,0.06,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,0,0.01,0,0.02,0,0.01,0,0,0.02,0.03,0.02,0.04,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03,-1,-1,-1,0.03,0.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05,0.02,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0.02,0.02,0.02,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.02,0,0,0,-1,-1,-1,-1,0,0,0.02,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0,0.01,0,0,0.02,0.04,0,0.04,0.02,0.01,0.03,0,0.01,0.01,0.03,0.01,0.02,0.02,0.03,0.04,0.05,0.01,0.03,0.02,0.01,0.06,0.03,0.04,0.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01
