0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0.02,0.04,0.03,0.08,0.04,0.01,0.02,0.02,0.03,0.05,-1,-1,-1,-1,-1,-1,-1,-1,0.05,0.05,0.07,0.1,0.09,0.09,0.09,0.07,0.08,0.07,0.14,0.05,0.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08,0.12,0.1,0.08,0.06,0.06,0.02,0.05,0.04,0.06,0.04,0.08,0.06,0.08,0.06,0.02,0.03,0.02,0.05,0.04,0.03,0.01,0.06,0,0,0.03,0.03,0.03,0.01,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0.03,0.03,0.02,0.02,0.01,0.02,0.08,0.03,0.06,0.01,-1,-1,-1,-1,-1,-1,-1,-1,0.05,0.09,0.06,0.12,0.08,0.09,0.09,0.08,0.11,0.08,0.12,0.12,0.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11,0.07,0.08,0.05,0.09,0.03,0.06,0.06,0.08,0.06,0.01,0.0900000000000001,0.08,0.08,0.03,0.03,0.06,0.01,0.05,0.07,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0.05,0.05,0,0.01,0.04,0.02,0.03,0.03,0.01,0.05,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09,-1,0.05,0.16,0.11,0.06,0.11,0.12,0.11,0.07,0.11,0.15,0.07,0.09,0.12,0.11,0.18,0.11,0.06,0.08,0.08,0.09,0.09,0.09,0.1,0.09,0.07,0.04,0.04,0.04,0.04,0.03,0.04,0.01,0.02,0.02,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.01,0.01,0.02,0.04,0.06,0.03,0.05,0.03,0.02,0.05,0.04,0.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11,0.06,0.17,0.14,0.14,0.07,0.1,0.08,0.08,0.13,0.13,0.12,0.1,0.15,0.07,0.14,0.13,0.14,0.12,0.11,0.12,0.06,0.07,0.06,0.07,0.07,0.08,0.06,0.04,0.07,0.03,0.07,0.05,0.04,0.06,0.05,0.03,0.04,0.05,0.01,0.02,0.03,0.02,0.04,0.01,0.04,0.03,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0.06,0.04,0.05,0.05,0.03,0.03,0.06,0.01,0.02,0.03,0.08,0.04,0.03,0.03,0.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07,0.13,0.16,0.13,0.1,0.15,0.2,0.14,0.17,0.15,0.16,0.14,0.15,0.12,0.2,0.08,0.12,0.14,0.12,0.09,0.07,0.08,-1,-1,0.07,0.08,0.08,0.06,0.05,0.05,0.03,0.06,0.05,0.04,0.04,0,0,0,0.03,0.03,0.05,0.02,0.01,0.05,0.02,0.01,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0,0.05,0.05,0.03,0.06,0.05,0.04,0.04,0.08,0.04,0.03,0.05,0.02,0.05,0.05,0.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12,0.15,0.15,0.14,0.18,0.11,0.14,0.13,0.12,0.18,0.11,0.13,0.09,0.16,0.14,0.15,0.1,0.09,0.08,0.03,0.09,0.04,0.08,0.11,0.14,0.09,0.07,0.07,0.05,0.07,0.08,0.05,0.03,0,0,0.01,0.04,0.06,0.05,0.03,0.03,0.07,0.02,0,0.03,0.02,0.02,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0.03,0.02,0.05,0.03,0.03,0.04,0.02,0.05,0.04,0,0.03,0.1,0.06,0.07,0.08,0.04,0.07,0.09,0.03,0.07,0.04,0.05,0.11,0.1,0.09,0.11,0.13,0.14,0.17,0.16,0.13,0.09,0.08,-1,-1,-1,-1,-1,-1,-1,-1,0.19,0.17,0.09,0.1,0.13,0.09,0.11,0.12,0.09,0.12,0.1,0.08,0.09,0.06,0.12,0.06,0.05,0.09,0.03,0,0,0.01,0.04,0.04,-1,-1,-1,-1,-1,0.02,0.04,0.02,0.05,0.03,0.02,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.04,0,0.04,0.05,0,0.03,0.05,0.03,0.04,0.02,0.07,0.06,0.04,0.02,0.08,0.09,0.07,0.08,0.06,0.06,0.1,0.09,0.1,0.09,0.09,0.09,0.08,0.11,0.13,0.15,0.16,0.22,-1,-1,-1,-1,-1,-1,-1,-1,0.18,0.13,0.11,0.2,0.13,0.2,0.15,0.14,0.12,0.09,0.11,0.12,0.12,0.11,0.06,0.04,0.06,0.09,0.01,0,0.01,0.08,-1,-1,-1,-1,-1,-1,-1,-1,0.03,0.02,0.02,0.03,0.02,0.01,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.02,0.04,0.06,0.01,0.05,0.05,0.05,0.04,0.03,0.05,0.07,0.05,0.06,0.05,0.04,-1,-1,-1,0.16,0.13,0.11,0.09,0.08,0.09,0.15,0.13,0.17,0.09,0.23,0.1,0.18,0.19,-1,-1,-1,-1,-1,-1,-1,-1,0.14,0.11,0.17,0.2,0.17,0.11,0.21,0.11,0.14,0.16,0.11,0.13,0.11,0.13,0.06,0.07,0,0,0,0,0,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03,0.03,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.05,0.03,0.02,0.03,0.01,0.04,0.05,0.04,0.03,0.01,0.05,0.02,0.08,0.06,0,0.06,0.09,0.06,0.11,-1,-1,-1,0.08,0.13,0.13,0.12,0.15,0.11,0.11,0.14,0.16,0.21,0.23,0.15,0.19,0.18,0.27,0.2,0.11,0.29,0.29,0.17,0.25,0.3,0.19,0.16,0.24,0.13,0.21,0.1,0.11,0.16,0.15,0.15,0.06,0.12,0.09,0.13,0.1,0.02,0.01,0.02,0,0.01,0,0,0.05,0.1,0.04,0.06,0.01,0.02,0.03,0.03,0.02,0.05,0.01,0.02,0.02,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
