0.02,0.03,0.01,0,0.01,0.03,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0.01,0.01,0,0.02,0.01,0.01,0,0,0,0.01,0.01,0,0,0,0,0.03,0.01,0.01,0.02,0.03,0.03,0.02,0.02,0.04,0.04,0.06,0.06,0.07,0.05,0.1,-1,-1,-1,0.28,-1,-1,-1,0.56,0.58,0.6,0.44,0.31,0.22,0.08,0.08,0.02,0.05,0.12,0.05,-1,0.04,0.04,0.04,0.04,-1,0.05,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.01,0.01,0,0.01,0.01,0.01,0.01,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0.01,0,0.02,0.01,0.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0.01,0,0.01,0.01,0.01,0,0,0.02,0.03,0,0,0,0.01,0.01,0,0.04,0,0,0,0.01,0.01,0.03,0.01,0.03,0.02,0.03,0.01,0.04,0.02,0.04,0.07,0.02,0.07,0.12,0.17,0.13,0.16,0.15,0.2,0.32,-1,-1,-1,-1,0.35,0.25,0.14,0.1,0.05,0.15,-1,-1,0.04,0.05,0.06,0.02,0.06,0.02,-1,0.02,0,0.02,0.01,0.01,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0,0,0.01,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0.02,0.01,0.01,0,0.03,-1,-1,-1,-1,-1,-1,-1,0.01,0.01,0.01,0,0.03,0,0,0,0.01,0.01,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.01,0,0,0,0.01,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,0,0,0.02,0.03,0.01,0,0,0.03,0.02,0,0.06,0.05,0.06,0.09,0.08,0.12,0.06,0.14,0.14,0.16,0.23,0.2,0.26,0.33,0.18,0.22,0.17,0.05,0.07,0.07,0.13,-1,-1,-1,-1,0.09,0.03,0.05,0.03,0.05,-1,-1,-1,-1,0.02,0.01,0.01,0.01,0.01,0.01,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.01,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,0,0.02,0.03,0.01,0.01,0.01,0.02,0.05,0.05,0.01,0.02,0.02,0,0,0.01,0,0.01,0,0,0.02,0,0.01,-1,-1,-1,-1,0,0.01,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0.01,0.02,0,0.01,0.01,0.01,0,0.01,0,0.01,0.03,0.05,0.01,0.01,0.04,0.09,0.05,0.06,0.04,0.11,0.06,0.08,0.08,0.09,0.15,0.16,0.17,0.21,0.2,0.2,0.21,0.18,-1,-1,0.14,0.04,0.14,-1,-1,-1,0.02,0.05,0.04,0.02,0.02,0.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0.01,0,0.01,0.01,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1
-1,-1,-1,0.02,0,0.01,0,0.02,0.01,0.01,0,0.01,0.02,0.01,0,0.01,0,0.01,0,0.01,0.03,0,0,0,-1,0.01,0,0,0,0.01,0.01,-1,-1,0,0,0,0,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0,0,0.01,0,0,0,0,0,0.02,0,0,0.02,0.01,0,0.02,0.04,0.04,0.02,0.03,0.04,0.05,0.06,0.03,0.09,0.11,0.09,0.11,0.12,0.1,0.2,0.14,0.11,0.19,0.14,0.14,0.08,0.14,0,0.01,0.05,0.09,0.05,0.01,0.05,0.07,0.04,0.02,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.01,-1,0.01,-1,-1,0.01,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,0,0.02,0.02,0.02,0.05,0.02,0,0.01,0.04,0.02,0.01,0,0.01,0.01,0.03,0,0.01,0,0.01,0,0.01,0,0,0,0.01,0.01,0.02,0,0,0.02,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,-1,-1,-1,-1,-1,0,0.01,0,0,0.01,0,0,0.01,0,0,0,0.03,0,0.01,0.01,0.01,0.02,0.04,0.03,0.05,0.02,0,0.06,0.06,0.06,0.1,0.07,0.09,0.11,0.1,0.1,0.09,0.15,0.12,0.07,0.14,0.06,0.06,0,0,0.09,0.05,0.04,0.04,0.02,0.02,0.03,0.03,0.02,0.04,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,-1,-1,-1,-1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,0.03,0.01,0.03,0.02,0.02,0.04,0.01,0.02,0.02,0.02,0.02,0.02,0.04,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0,0,0,0.01,0,0,0.01,-1,-1,-1,-1,-1,-1,0,0.01,0.01,0,0.03,0,0.05,0.05,0.03,0.03,0.04,0.02,0.05,0.08,0.08,0.09,0.08,0.09,0.07,0.06,0.08,0.07,0.03,0.04,0.04,0.02,0,0,0,0.02,0.03,0.06,0.04,0.04,0.02,0,0,0.03,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0.01,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
-1,-1,-1,0.01,0.02,0.01,0.03,0.03,0.01,0.02,0.01,0.03,0.02,0,0.01,0.03,0.02,0.02,0.02,0.01,0,0.01,0.02,0,0.01,0,0.01,0.02,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0.02,0.01,0,0.01,0,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.03,0.01,0.02,0.06,0.07,0.05,0.05,0.07,0.03,0.05,0.09,0.05,0.02,0.07,0.05,0.07,0.05,0.0900000000000001,0.03,0.03,0,0.01,0,0.02,0.05,0,0.03,0.03,0,0.02,0,0.02,0.01,0,0.01,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
-1,-1,-1,0,0.03,0.03,0.06,0.02,0.03,0.03,0.01,0.05,0.04,0.02,0.04,0.01,0,0.05,0,0.01,0.01,0.03,0.01,0,0.01,0,0.02,0.01,0.01,0.01,0.01,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0.02,0,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04,0.03,0.04,0.07,0.04,0.03,0.04,0.03,0.03,0.06,0.05,0.08,0.06,0.04,0.05,0.05,0.04,0.05,0.05,0,0,0,0,0,0.02,0.01,0.01,0.03,0,0.02,0.01,0.02,0.02,0.01,0,0,0.01,0,-1,-1,-1,-1,-1,-1,0.01,0,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
-1,-1,-1,0.01,0.02,0.03,0.05,0.02,0.02,0.01,0,0.06,0.02,0.03,0.02,0.03,0.07,0.02,0,0.02,0.02,0,0.01,0.02,0.02,0.01,0,0.01,0,0,0.01,0,0,0,0.01,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.01,0,0,0.02,0.03,0,0.02,-1,-1,-1,-1,-1,-1,-1,0,0.04,0.02,0.01,0.07,0.02,0.02,0.06,0.04,0.04,0.03,0.05,0.06,0.01,0.02,0.02,0.02,0.03,0.03,0.02,0,0,0,0,0,0,0.01,0,0.02,0,0.02,0,0.02,0.01,0.01,0.02,0,0,0.01,0,-1,-1,-1,0,0.01,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
-1,-1,-1,0.05,0.04,0.02,0.02,0.06,0.08,0.04,0.02,0.01,0.03,0.01,0.02,0.02,0.05,0,0.02,0.06,0.03,0.02,0.01,0.01,0.01,0.04,0.01,0.02,0.02,0,0,0.01,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.01,-1,-1,0.02,0,0,0,0,0,0,0,0.02,0.01,0,-1,-1,-1,-1,-1,0.01,0.02,-1,0.02,0.02,0.02,0.02,0.03,0.03,0.01,0.01,0.03,0,0.05,0.04,0.05,0.05,0.05,0.05,0.01,0.02,0.02,0.03,0.02,0,0,0,0,0,0,0.01,0,0.03,0.03,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,-1,0.02,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0
0.02,0.03,0.03,0.05,0.05,0.09,0.04,0.02,0.04,0.06,0.04,0.02,0.03,0.02,0.03,0.03,0.03,0.04,0.02,0.04,0.02,0.02,0.02,0,0,0.01,0.01,0,0.02,0.01,0,0,0,0.01,0.02,0,-1,-1,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.01,0,0,0.01,-1,-1,0,0,0,0.01,0.01,0.01,0,0,0.01,0.01,0.02,-1,-1,-1,-1,-1,-1,-1,0.02,0.02,0.02,0.05,0.03,0.02,0.03,0.02,0.04,0.02,0.02,0.03,0.04,0.04,0.06,0.03,0.03,0,0.03,0.02,0.02,0.01,0.01,0,0,0,0,0,0,0.01,0,0.01,0.01,0,0.03,0,0.03,0,0.02,0,0.02,0.01,0.01,0,0,0.01,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
0.01,0.08,0.05,0.01,0.05,0.08,0.03,0.03,0.05,0.04,0.08,0.03,0.01,0.04,0.02,0.03,0.03,0.01,0.01,0,0.03,0.03,0.01,0.03,0.01,-1,-1,-1,-1,-1,0,0.03,-1,-1,-1,-1,-1,-1,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0.01,0,0.01,0,0.01,0,-1,-1,-1,-1,-1,-1,0.03,0.01,0.04,0.01,0.01,0.01,0.03,0.02,0.04,0.04,0.03,0.03,0.02,0.02,0.02,-1,-1,-1,-1,-1,-1,0.04,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.01,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0
-1,0.04,0.08,0.04,0.04,0.02,0.05,0.03,0.01,0.08,0.07,0.05,0.08,0.03,0.02,0.04,0.04,0.07,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0.02,0.04,0,0,0,-1,0.01,0.01,0,0.01,0.05,0.01,0.01,0.03,0.03,0.01,0.01,0,0.03,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0.01,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0
-1,-1,-1,0.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03,0.07,0.1,0.05,0.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0.01,0,-1,-1,-1,-1,-1,-1,0.01,0.02,0,0.01,0.01,0,0,0.01,0,0,0,0,0.01,0,0.04,0.03,0.01,0.01,0.01,0,0.02,0,0.02,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
